epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3606.61,1.27534,0.73886,1.44247,0.89763,0.92513,0.93162,0.54335,1.54116,0.67776,1.5227,0.0001535,0.0001535,0.0001535
72,3649.44,1.27882,0.7359,1.43159,0.90698,0.92037,0.93293,0.55128,1.53261,0.67726,1.5196,0.00014855,0.00014855,0.00014855
73,3693.58,1.2684,0.71327,1.41372,0.90188,0.92645,0.934,0.54855,1.53987,0.65576,1.5236,0.0001436,0.0001436,0.0001436
74,3737.19,1.2714,0.72437,1.42067,0.89302,0.93275,0.93507,0.55771,1.5172,0.64805,1.50599,0.00013865,0.00013865,0.00013865
75,3781.47,1.27998,0.73015,1.43839,0.89376,0.91142,0.92842,0.55293,1.52658,0.66146,1.51461,0.0001337,0.0001337,0.0001337
76,3825.64,1.26697,0.71336,1.41727,0.89606,0.91463,0.93008,0.55673,1.50791,0.64766,1.48862,0.00012875,0.00012875,0.00012875
77,3869.46,1.26216,0.7092,1.41354,0.91337,0.93657,0.94086,0.56188,1.50642,0.63426,1.48787,0.0001238,0.0001238,0.0001238
78,3914.18,1.25584,0.71874,1.40302,0.90326,0.93311,0.93783,0.56612,1.50361,0.63078,1.47827,0.00011885,0.00011885,0.00011885
79,3958.79,1.24327,0.69936,1.38795,0.90305,0.93292,0.93946,0.55493,1.51641,0.63804,1.50167,0.0001139,0.0001139,0.0001139
80,4001.85,1.25561,0.70522,1.41649,0.89741,0.93081,0.93548,0.55844,1.49091,0.64239,1.48888,0.00010895,0.00010895,0.00010895
81,4044.68,1.23082,0.68569,1.40165,0.91146,0.93817,0.9418,0.56902,1.47627,0.63013,1.47364,0.000104,0.000104,0.000104
82,4088.74,1.22722,0.68805,1.39233,0.91165,0.92812,0.9385,0.56801,1.47849,0.62551,1.47527,9.905e-05,9.905e-05,9.905e-05
83,4131.23,1.23334,0.69758,1.40859,0.90476,0.93417,0.93686,0.56079,1.49406,0.64009,1.48544,9.41e-05,9.41e-05,9.41e-05
84,4174.33,1.23242,0.6796,1.39074,0.91012,0.93487,0.93897,0.56584,1.46426,0.6217,1.4637,8.915e-05,8.915e-05,8.915e-05
85,4217.82,1.22833,0.681,1.39343,0.91245,0.92902,0.94141,0.55995,1.48166,0.63036,1.4746,8.42e-05,8.42e-05,8.42e-05
86,4261.65,1.21305,0.6811,1.3843,0.90831,0.93162,0.94095,0.56603,1.47938,0.61684,1.4685,7.925e-05,7.925e-05,7.925e-05
87,4305.83,1.21376,0.66337,1.36625,0.91073,0.93839,0.94393,0.57653,1.46298,0.60145,1.4609,7.43e-05,7.43e-05,7.43e-05
88,4350.43,1.2198,0.67632,1.39405,0.90486,0.93366,0.93787,0.56589,1.48541,0.6146,1.47558,6.935e-05,6.935e-05,6.935e-05
89,4394.18,1.2039,0.67162,1.3656,0.91477,0.93676,0.94209,0.57262,1.46742,0.61578,1.46045,6.44e-05,6.44e-05,6.44e-05
90,4437.39,1.2143,0.67893,1.38406,0.91384,0.94202,0.94486,0.58226,1.44668,0.59724,1.44488,5.945e-05,5.945e-05,5.945e-05
91,4483.16,1.18214,0.56927,1.46308,0.91133,0.93623,0.9431,0.57498,1.46233,0.60938,1.45308,5.45e-05,5.45e-05,5.45e-05
92,4524.8,1.16023,0.54415,1.4309,0.91664,0.93598,0.94215,0.57731,1.4568,0.60973,1.45334,4.955e-05,4.955e-05,4.955e-05
93,4566.45,1.1487,0.54325,1.42737,0.91497,0.94241,0.94542,0.58253,1.45911,0.60464,1.45435,4.46e-05,4.46e-05,4.46e-05
94,4609.63,1.12256,0.53553,1.41618,0.91758,0.93932,0.94672,0.57946,1.45463,0.60511,1.45077,3.965e-05,3.965e-05,3.965e-05
95,4651.59,1.11792,0.52004,1.39544,0.91728,0.94586,0.94633,0.58293,1.44869,0.59798,1.44548,3.47e-05,3.47e-05,3.47e-05
96,4695.46,1.12103,0.52317,1.40954,0.92324,0.93577,0.94595,0.58546,1.443,0.59139,1.44221,2.975e-05,2.975e-05,2.975e-05
97,4739.15,1.11555,0.52155,1.40375,0.92057,0.93778,0.94535,0.58572,1.43887,0.59424,1.43964,2.48e-05,2.48e-05,2.48e-05
98,4782.63,1.10496,0.52066,1.40612,0.92452,0.93802,0.94682,0.58615,1.43607,0.59375,1.43844,1.985e-05,1.985e-05,1.985e-05
99,4825.71,1.10721,0.52153,1.38363,0.92762,0.9384,0.9483,0.5868,1.43336,0.58977,1.43616,1.49e-05,1.49e-05,1.49e-05
100,4869.04,1.1013,0.50916,1.38311,0.92559,0.93531,0.94691,0.58536,1.43596,0.59134,1.43794,9.95e-06,9.95e-06,9.95e-06
