epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2996.96,1.3336,0.80917,1.46961,0.89261,0.92577,0.92882,0.52483,1.55539,0.69545,1.5324,0.0002129,0.0002129,0.0002129
60,3042.75,1.31378,0.79562,1.46983,0.87711,0.91921,0.92426,0.52921,1.56415,0.70217,1.54588,0.00020795,0.00020795,0.00020795
61,3088.86,1.34888,0.79413,1.4639,0.89607,0.90692,0.92233,0.52149,1.60376,0.69325,1.57435,0.000203,0.000203,0.000203
62,3134.64,1.34121,0.79331,1.45732,0.88116,0.92225,0.92748,0.52968,1.57657,0.69068,1.55079,0.00019805,0.00019805,0.00019805
63,3181.56,1.32078,0.75666,1.43527,0.88927,0.91835,0.93392,0.54413,1.53955,0.67236,1.53365,0.0001931,0.0001931,0.0001931
64,3228.86,1.31903,0.76311,1.44415,0.91977,0.90393,0.93047,0.54225,1.54683,0.68546,1.52716,0.00018815,0.00018815,0.00018815
65,3274.13,1.29981,0.76693,1.436,0.90364,0.92162,0.93442,0.54653,1.51748,0.66893,1.50934,0.0001832,0.0001832,0.0001832
66,3321.79,1.30963,0.76022,1.44817,0.89278,0.9119,0.93056,0.53182,1.56513,0.67953,1.53978,0.00017825,0.00017825,0.00017825
67,3368.33,1.30596,0.75715,1.43015,0.90387,0.91357,0.9328,0.54218,1.54112,0.66558,1.51952,0.0001733,0.0001733,0.0001733
68,3413.91,1.27747,0.75346,1.4263,0.91212,0.91314,0.93398,0.53964,1.53081,0.66073,1.51884,0.00016835,0.00016835,0.00016835
69,3459.94,1.31273,0.76174,1.44213,0.90212,0.91178,0.9319,0.539,1.54032,0.67454,1.53573,0.0001634,0.0001634,0.0001634
70,3505.15,1.29098,0.74428,1.43657,0.91416,0.90791,0.92925,0.53075,1.55494,0.67478,1.53747,0.00015845,0.00015845,0.00015845
71,3550.28,1.27556,0.74205,1.43558,0.90993,0.92076,0.93329,0.54275,1.51637,0.65381,1.50992,0.0001535,0.0001535,0.0001535
72,3594.64,1.26999,0.73448,1.41909,0.92626,0.912,0.93517,0.55316,1.49396,0.64769,1.49801,0.00014855,0.00014855,0.00014855
73,3643.29,1.2615,0.70737,1.40339,0.91178,0.92751,0.93905,0.55932,1.50214,0.64275,1.50378,0.0001436,0.0001436,0.0001436
74,3689.96,1.26456,0.72088,1.40748,0.91725,0.92486,0.94013,0.55689,1.50575,0.63721,1.50011,0.00013865,0.00013865,0.00013865
75,3734.99,1.27105,0.73155,1.42717,0.93176,0.91269,0.9384,0.5556,1.49134,0.64451,1.49937,0.0001337,0.0001337,0.0001337
76,3782.23,1.2712,0.72381,1.41075,0.90611,0.92695,0.93788,0.55275,1.49468,0.64939,1.49044,0.00012875,0.00012875,0.00012875
77,3829.6,1.25555,0.70845,1.40502,0.91331,0.93598,0.94314,0.55773,1.48499,0.63735,1.4764,0.0001238,0.0001238,0.0001238
78,3876.1,1.24697,0.71734,1.39231,0.91407,0.92942,0.94082,0.55755,1.50966,0.63318,1.49206,0.00011885,0.00011885,0.00011885
79,3922.84,1.24921,0.70304,1.3873,0.90987,0.92935,0.94119,0.55325,1.53251,0.63011,1.51229,0.0001139,0.0001139,0.0001139
80,3968.32,1.25781,0.70764,1.41343,0.91229,0.92664,0.93991,0.55681,1.49914,0.63243,1.48809,0.00010895,0.00010895,0.00010895
81,4013.89,1.23332,0.69189,1.39884,0.9255,0.93304,0.94322,0.55738,1.51299,0.62698,1.49531,0.000104,0.000104,0.000104
82,4059.01,1.23972,0.69318,1.39307,0.91936,0.92695,0.94193,0.56223,1.47737,0.61862,1.47722,9.905e-05,9.905e-05,9.905e-05
83,4105.77,1.22307,0.69819,1.3969,0.92017,0.93417,0.9413,0.55928,1.49225,0.61981,1.48726,9.41e-05,9.41e-05,9.41e-05
84,4150.69,1.23508,0.68312,1.3833,0.9159,0.93392,0.945,0.56785,1.45297,0.61147,1.46017,8.915e-05,8.915e-05,8.915e-05
85,4197.24,1.22622,0.68447,1.38572,0.91967,0.92979,0.94215,0.57095,1.46162,0.61057,1.45644,8.42e-05,8.42e-05,8.42e-05
86,4243.95,1.21871,0.6852,1.38155,0.91185,0.93027,0.94178,0.56609,1.48692,0.60919,1.47152,7.925e-05,7.925e-05,7.925e-05
